SampleID,Group,Treatment,Vaccine,Challenge,PigID,Study_Day,Days_post_vaccination,Days_post_challenge,Sample_Type
5408_D3_F,1,MVMC,Mock,Mock,5408,D3,30,3,Fecal
5409_D3_F,2,MVC,Mock,I4512i,5409,D3,30,3,Fecal
5411_D3_F,3,EVC,Enterisol,I4512i,5411,D3,30,3,Fecal
5413_D3_F,1,MVMC,Mock,Mock,5413,D3,30,3,Fecal
5415_D3_F,2,MVC,Mock,I4512i,5415,D3,30,3,Fecal
5416_D3_F,3,EVC,Enterisol,I4512i,5416,D3,30,3,Fecal
5418_D3_F,2,MVC,Mock,I4512i,5418,D3,30,3,Fecal
5420_D3_F,3,EVC,Enterisol,I4512i,5420,D3,30,3,Fecal
5421_D3_F,1,MVMC,Mock,Mock,5421,D3,30,3,Fecal
5425_D3_F,1,MVMC,Mock,Mock,5425,D3,30,3,Fecal
6137_D3_F,2,MVC,Mock,I4512i,6137,D3,30,3,Fecal
6140_D3_F,2,MVC,Mock,I4512i,6140,D3,30,3,Fecal
6141_D3_F,1,MVMC,Mock,Mock,6141,D3,30,3,Fecal
6142_D3_F,3,EVC,Enterisol,I4512i,6142,D3,30,3,Fecal
81_D3_F,3,EVC,Enterisol,I4512i,81,D3,30,3,Fecal
82_D3_F,1,MVMC,Mock,Mock,82,D3,30,3,Fecal
83_D3_F,2,MVC,Mock,I4512i,83,D3,30,3,Fecal
84_D3_F,1,MVMC,Mock,Mock,84,D3,30,3,Fecal
88_D3_F,1,MVMC,Mock,Mock,88,D3,30,3,Fecal
89_D3_F,3,EVC,Enterisol,I4512i,89,D3,30,3,Fecal
90_D3_F,2,MVC,Mock,I4512i,90,D3,30,3,Fecal
91_D3_F,1,MVMC,Mock,Mock,91,D3,30,3,Fecal
92_D3_F,3,EVC,Enterisol,I4512i,92,D3,30,3,Fecal
96_D3_F,2,MVC,Mock,I4512i,96,D3,30,3,Fecal
98_D3_F,1,MVMC,Mock,Mock,98,D3,30,3,Fecal
99_D3_F,3,EVC,Enterisol,I4512i,99,D3,30,3,Fecal
1971_D7_F,1,MVMC,Mock,Mock,1971,D7,34,7,Fecal
1972_D7_F,2,MVC,Mock,I4512i,1972,D7,34,7,Fecal
1973_D7_F,3,EVC,Enterisol,I4512i,1973,D7,34,7,Fecal
1975_D7_F,2,MVC,Mock,I4512i,1975,D7,34,7,Fecal
1977_D7_F,3,EVC,Enterisol,I4512i,1977,D7,34,7,Fecal
1978_D7_F,2,MVC,Mock,I4512i,1978,D7,34,7,Fecal
1979_D7_F,1,MVMC,Mock,Mock,1979,D7,34,7,Fecal
1980_D7_F,3,EVC,Enterisol,I4512i,1980,D7,34,7,Fecal
1981_D7_F,1,MVMC,Mock,Mock,1981,D7,34,7,Fecal
1984_D7_F,3,EVC,Enterisol,I4512i,1984,D7,34,7,Fecal
1986_D7_F,2,MVC,Mock,I4512i,1986,D7,34,7,Fecal
1988_D7_F,1,MVMC,Mock,Mock,1988,D7,34,7,Fecal
1989_D7_F,2,MVC,Mock,I4512i,1989,D7,34,7,Fecal
1990_D7_F,3,EVC,Enterisol,I4512i,1990,D7,34,7,Fecal
1991_D7_F,1,MVMC,Mock,Mock,1991,D7,34,7,Fecal
1993_D7_F,3,EVC,Enterisol,I4512i,1993,D7,34,7,Fecal
1995_D7_F,2,MVC,Mock,I4512i,1995,D7,34,7,Fecal
2000_D7_F,3,EVC,Enterisol,I4512i,2000,D7,34,7,Fecal
5374_D7_F,1,MVMC,Mock,Mock,5374,D7,34,7,Fecal
5375_D7_F,2,MVC,Mock,I4512i,5375,D7,34,7,Fecal
5377_D7_F,1,MVMC,Mock,Mock,5377,D7,34,7,Fecal
5379_D7_F,3,EVC,Enterisol,I4512i,5379,D7,34,7,Fecal
5381_D7_F,2,MVC,Mock,I4512i,5381,D7,34,7,Fecal
5382_D7_F,3,EVC,Enterisol,I4512i,5382,D7,34,7,Fecal
5393_D7_F,2,MVC,Mock,I4512i,5393,D7,34,7,Fecal
5394_D7_F,3,EVC,Enterisol,I4512i,5394,D7,34,7,Fecal
5396_D7_F,3,EVC,Enterisol,I4512i,5396,D7,34,7,Fecal
5397_D7_F,1,MVMC,Mock,Mock,5397,D7,34,7,Fecal
5400_D7_F,1,MVMC,Mock,Mock,5400,D7,34,7,Fecal
5402_D7_F,2,MVC,Mock,I4512i,5402,D7,34,7,Fecal
5404_D7_F,1,MVMC,Mock,Mock,5404,D7,34,7,Fecal
5406_D7_F,2,MVC,Mock,I4512i,5406,D7,34,7,Fecal
5407_D7_F,3,EVC,Enterisol,I4512i,5407,D7,34,7,Fecal
5408_D7_F,1,MVMC,Mock,Mock,5408,D7,34,7,Fecal
5409_D7_F,2,MVC,Mock,I4512i,5409,D7,34,7,Fecal
5411_D7_F,3,EVC,Enterisol,I4512i,5411,D7,34,7,Fecal
5413_D7_F,1,MVMC,Mock,Mock,5413,D7,34,7,Fecal
5415_D7_F,2,MVC,Mock,I4512i,5415,D7,34,7,Fecal
5416_D7_F,3,EVC,Enterisol,I4512i,5416,D7,34,7,Fecal
5418_D7_F,2,MVC,Mock,I4512i,5418,D7,34,7,Fecal
5420_D7_F,3,EVC,Enterisol,I4512i,5420,D7,34,7,Fecal
5421_D7_F,1,MVMC,Mock,Mock,5421,D7,34,7,Fecal
5425_D7_F,1,MVMC,Mock,Mock,5425,D7,34,7,Fecal
6140_D7_F,2,MVC,Mock,I4512i,6140,D7,34,7,Fecal
6141_D7_F,1,MVMC,Mock,Mock,6141,D7,34,7,Fecal
6142_D7_F,3,EVC,Enterisol,I4512i,6142,D7,34,7,Fecal
81_D7_F,3,EVC,Enterisol,I4512i,81,D7,34,7,Fecal
82_D7_F,1,MVMC,Mock,Mock,82,D7,34,7,Fecal
83_D7_F,2,MVC,Mock,I4512i,83,D7,34,7,Fecal
84_D7_F,1,MVMC,Mock,Mock,84,D7,34,7,Fecal
88_D7_F,1,MVMC,Mock,Mock,88,D7,34,7,Fecal
89_D7_F,3,EVC,Enterisol,I4512i,89,D7,34,7,Fecal
90_D7_F,2,MVC,Mock,I4512i,90,D7,34,7,Fecal
91_D7_F,1,MVMC,Mock,Mock,91,D7,34,7,Fecal
92_D7_F,3,EVC,Enterisol,I4512i,92,D7,34,7,Fecal
96_D7_F,2,MVC,Mock,I4512i,96,D7,34,7,Fecal
98_D7_F,1,MVMC,Mock,Mock,98,D7,34,7,Fecal
99_D7_F,3,EVC,Enterisol,I4512i,99,D7,34,7,Fecal
